"emp_id","satisfaction_level","last_evaluation"
"10001","38.0","53.0"
"10002","80.0","86.0"
"10003","11.0","88.0"
"10004","72.0","87.0"
"10005","37.0","52.0"
"10006","41.0","50.0"
"10007","10.0","77.0"
"10008","92.0","85.0"
"10009","89.0","100.0"
"10010","42.0","53.0"
"10011","45.0","54.0"
"10012","11.0","81.0"
"10013","84.0","92.0"
"10014","41.0","55.0"
"10015","36.0","56.0"
"10016","38.0","54.0"
"10017","45.0","47.0"
"10018","78.0","99.0"
"10019","45.0","51.0"
"10020","76.0","89.0"
"10021","11.0","83.0"
"10022","38.0","55.0"
"10023","9.0","95.0"
"10024","46.0","57.0"
"10025","40.0","53.0"
"10026","89.0","92.0"
"10027","82.0","87.0"
"10028","40.0","49.0"
"10029","41.0","46.0"
"10030","38.0","50.0"
"10031","9.0","62.0"
"10032","45.0","57.0"
"10033","40.0","51.0"
"10034","45.0","55.0"
"10035","84.0","87.0"
"10036","10.0","94.0"
"10037","38.0","46.0"
"10038","45.0","50.0"
"10039","11.0","89.0"
"10040","41.0","54.0"
"10041","87.0","88.0"
"10042","45.0","48.0"
"10043","40.0","46.0"
"10044","10.0","80.0"
"10045","9.0","89.0"
"10046","84.0","74.0"
"10047","40.0","55.0"
"10048","57.0","70.0"
"10049","40.0","54.0"
"10050","43.0","47.0"
"10051","13.0","78.0"
"10052","44.0","55.0"
"10053","38.0","55.0"
"10054","39.0","54.0"
"10055","10.0","92.0"
"10056","37.0","46.0"
"10057","11.0","94.0"
"10058","10.0","81.0"
"10059","38.0","54.0"
"10060","85.0","100.0"
"10061","85.0","91.0"
"10062","11.0","93.0"
"10063","10.0","95.0"
"10064","36.0","56.0"
"10065","11.0","94.0"
"10066","81.0","70.0"
"10067","43.0","54.0"
"10068","90.0","98.0"
"10069","76.0","86.0"
"10070","43.0","50.0"
"10071","74.0","99.0"
"10072","9.0","77.0"
"10073","45.0","49.0"
"10074","9.0","87.0"
"10075","11.0","97.0"
"10076","11.0","79.0"
"10077","10.0","83.0"
"10078","40.0","54.0"
"10079","43.0","56.0"
"10080","39.0","56.0"
